Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,32477.44,31060.9,31549.57,33099.78,34346.29,34737.7,35689.59,36792.19,36981.04,36489.95,35298.56,35077.56,35500.97,36618.79,37143.79,37320.11,38558.71,39732.87,41420.21,43175.62,43552.02,44488.3,44937.39,45970.31,47073.41,47908.49,48482.1,48559.09,46740.48,47792.77,48901.71,49364.36,50193.75,51231.99,51354.11
United States,29192.03,28362.44,29406.26,31268.99,32306.86,33133.71,33975.66,35083.97,36033.29,36231.42,35726.34,36508.11,37026.34,38057.38,38632.74,39634.44,40920.67,42246.95,43723.75,45018.23,45007.05,45376.61,46221.5,47540.13,48677.14,49502.71,49902.53,49291.86,47503.07,48304.27,48715.53,49438.44,49914.58,50818.96,51887.64
Belgium,27371.01,27522.96,27610.98,28292.6,28751.47,29264.86,29914.42,31283.6,32193.98,33098.75,33586.96,33961.42,33502.01,34455.04,35163.66,35641.57,36888.46,37553.62,38821.0,40122.02,40334.4,40917.66,41065.62,42376.37,43033.23,43833.85,45026.67,45028.56,43667.61,44502.15,44902.3,44618.69,44347.47,44566.64,44854.33
Denmark,36146.13,37505.54,38505.63,40130.85,41720.65,43708.25,43763.9,43736.68,43992.48,44568.88,45072.55,45803.2,45658.04,47933.68,49130.03,50271.77,51698.97,52655.35,54030.68,55873.66,56139.94,56203.76,56219.59,57514.35,58653.02,60743.19,61099.79,60602.93,57464.03,58379.29,59006.56,58995.48,59406.8,60231.97,61063.41
Finland,25882.2,26532.2,27197.71,27922.36,28791.96,29483.02,30443.55,31933.12,33450.88,33514.91,31360.66,30154.13,29791.95,30836.47,32016.65,33086.61,35058.61,36871.45,38427.1,40509.96,41461.47,42057.5,42794.13,44345.52,45423.26,47085.83,49319.1,49444.5,45138.98,46277.34,47246.36,46351.04,45788.21,45298.73,45173.02
France,27153.43,27683.93,27913.66,28177.83,28509.65,29057.42,29666.96,30925.65,31954.24,32687.71,32830.48,33158.04,32780.13,33391.36,33930.96,34246.27,34889.5,35964.63,37012.05,38245.41,38771.01,38978.33,39078.13,39932.12,40328.77,41028.17,41736.6,41578.88,40131.14,40692.57,41312.66,41177.13,41212.89,41410.4,41667.09
Germany,26164.48,26083.32,26565.9,27409.25,28108.88,28741.26,29142.45,30101.88,31030.51,32358.55,33754.73,34142.22,33592.98,34299.31,34792.94,34976.01,35570.49,36269.08,36966.76,38011.3,38591.44,38526.97,38232.07,38687.51,38983.51,40471.64,41846.88,42388.19,40117.75,41853.36,43477.11,43780.21,44080.53,45014.68,45879.97
Ireland,17519.52,17731.1,17566.64,18201.69,18705.02,18622.27,19493.95,20570.88,21868.47,23753.77,24057.35,24673.05,25191.62,26514.21,28921.12,30988.53,33759.0,36168.92,39512.77,42753.97,44645.34,46732.96,47359.43,49424.62,51045.44,52490.99,53838.71,50600.92,47603.38,48011.1,48935.46,48424.39,48661.98,52095.35,64613.46
Netherlands,29614.3,29114.75,29609.2,30391.48,31023.37,31711.42,32117.65,33006.58,34262.11,35449.24,36036.26,36388.99,36602.53,37422.42,38395.41,39588.54,41087.71,42687.64,44552.63,46119.65,46757.05,46519.48,46446.91,47245.23,48168.89,49798.57,51543.77,52230.95,50018.18,50464.46,51057.88,50285.98,49968.04,50460.3,51386.27
Portugal,12480.27,12734.4,12696.14,12440.89,12774.91,13290.19,14127.05,15176.9,16150.26,16789.05,17528.94,17704.43,17272.82,17335.38,18009.83,18576.14,19290.45,20079.55,20741.51,21418.33,21727.02,21795.2,21496.63,21794.16,21873.84,22130.49,22603.21,22575.97,21840.19,22197.15,21741.95,20825.19,20555.87,20711.54,21066.56
United Kingdom,21670.24,22126.3,23046.58,23541.7,24464.8,25154.98,26407.89,27843.21,28481.03,28609.77,28218.85,28244.74,28899.25,29942.18,30586.17,31277.84,32457.74,33369.93,34309.27,35427.91,36185.61,36933.93,38020.64,38723.27,39684.31,40418.76,41099.47,40644.25,38719.65,39153.72,39500.79,39864.16,40458.74,41467.22,42211.39
Estonia,8777.82,9212.0,9485.8,9678.21,9650.11,9681.93,9943.36,10182.24,10482.93,9752.51,9028.56,7260.88,7015.19,6987.39,7268.15,7755.25,8759.07,9200.29,9195.11,10241.17,10970.98,11724.43,12685.18,13575.51,14944.51,16588.69,17966.72,17053.28,14587.43,14969.55,16176.12,16982.42,17434.7,18041.27,18445.5
Norway,49144.63,49079.69,50860.86,53787.23,56605.71,58693.5,59443.7,58973.77,59340.58,60261.09,61832.4,63674.64,65097.48,67999.34,70459.05,73627.16,77088.89,78629.3,79661.38,81683.6,82965.99,83706.33,83982.32,86791.94,88464.06,89854.46,91582.3,90881.63,88224.67,87733.52,87440.81,88644.75,88434.95,89091.83,89802.13
Russia,7670.96,8203.22,8522.34,8801.6,8862.04,9098.34,9226.25,9682.76,9892.09,9555.05,9052.86,7729.81,7057.63,6164.98,5904.12,5697.75,5786.21,5487.63,5856.86,6470.81,6833.75,7197.48,7764.88,8364.7,8940.29,9708.78,10559.22,11117.12,10242.74,10699.14,11264.68,11677.15,11887.06,11977.4,11642.45
China,358.94,384.98,420.07,476.94,533.2,571.88,627.44,685.86,703.21,719.38,776.05,875.94,986.38,1103.1,1211.28,1319.11,1429.01,1529.47,1635.65,1763.85,1900.36,2062.93,2258.33,2473.92,2741.24,3073.14,3491.57,3808.43,4145.27,4564.04,4975.96,5342.17,5730.58,6121.41,6514.42
Japan,26743.98,27441.66,28214.33,29296.68,30646.16,31473.37,32800.44,34876.94,36424.37,38073.55,39239.68,39440.05,39122.72,39413.79,40403.93,41560.4,41904.91,41329.64,41135.49,42191.28,42251.74,42214.32,42798.68,43693.78,44412.75,45039.11,45765.7,45262.16,42838.54,44678.0,44664.8,45368.7,46318.02,46546.33,47244.78
South Korea,3904.15,4162.02,4644.19,5066.21,5405.32,5952.5,6628.99,7345.96,7784.94,8464.99,9239.95,9699.29,10253.46,11094.28,12051.99,12863.79,13524.52,12689.35,14022.89,15158.53,15730.35,16807.92,17221.59,17992.44,18644.24,19538.01,20482.23,20931.89,20973.86,22219.65,22897.84,23298.47,23858.47,24517.46,25052.39
Singapore,14025.33,14370.94,15381.39,16405.42,16253.6,16468.36,17949.5,19425.28,20763.07,22178.59,22873.98,23712.96,25628.34,27575.71,28665.28,29969.11,31581.84,30091.04,31147.36,33098.58,31948.78,32425.45,33019.75,35307.57,37065.88,39427.01,42052.69,41860.81,40738.34,45995.23,47921.64,48884.23,50377.66,51328.45,51487.61
New Zealand,23006.46,22993.43,23492.96,24323.09,24524.56,25061.31,23896.05,24310.98,24321.4,24220.29,23536.17,23572.59,24806.63,25739.17,26504.34,26988.05,27492.05,27594.03,28878.03,29394.34,30228.58,31264.84,32174.1,32829.13,33583.06,34095.58,35014.91,34134.1,34458.22,34471.84,35087.0,35651.55,36061.3,37027.49,38351.59
Israel,19520.05,19441.41,19636.79,19720.87,20113.46,20244.81,21193.64,21520.05,21385.93,22301.6,22809.65,23457.36,23423.06,24088.05,25561.08,26127.31,26384.5,26777.78,27037.31,28504.91,27885.97,27410.79,27098.56,27797.38,28409.68,29346.31,30483.54,30835.76,30698.27,31705.74,32568.43,32590.91,33322.5,33876.08,34349.4
