Historical Gross Domestic Product Per Capita for Baseline Countries/Regions (in 2010 dollars) 1980-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Information important for using this table: Because of the use of fixed exchange rates, the base year can make a significant difference in the relative ranking of countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Calculated from real GDP and population in the ERS International Macroeconomic Data Sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Lorraine Mitchell (202-694-5234, lmitchel@ers.usda.gov).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Per Capita GDP in 2010 U.S. dollars and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,
World,6322.432129,6324.328613,6256.806641,6309.009277,6481.978027,6600.994629,6705.132324,6823.50293,7012.159668,7144.824707,7214.248047,7192.314941,7201.178711,7226.625488,7338.566895,7452.644531,7598.268066,7773.398438,7866.599121,8019.602539,8267.191406,8321.254883,8399.142578,8539.322266,8810.24707,9038.305664,9313.306641,9590.824219,9649.279297,9371.060547,9663.28418,9856.561523,9989.527344,10136.6709,10313.68066,10490.19434,10629.69531,10844.9248,,0.029996121,-1.067654371,0.834333539,2.741615057,1.836115479,1.577606082,1.765373111,2.764807701,1.891928434,0.971659124,-0.304024845,0.12323945,0.353369623,1.549013495,1.554494739,1.953984737,2.304872274,1.198969603,1.944975376,3.087296009,0.653952181,0.93600899,1.668976188,3.172673464,2.58856082,3.042616367,2.97979641,0.60948962,-2.883311272,3.118362427,2.00012064,1.349008203,1.472978115,1.746231794,1.711451769,1.329822659,2.024794579,2.101960659,,,,,,,,,,,,,,,,,,
WorldLessUSA,5105.62,5093.72,5077.35,5087.27,5181.67,5264.10,5342.10,5435.53,5589.61,5692.45,5760.84,5766.80,5740.42,5744.29,5814.16,5909.37,6016.63,6139.44,6174.39,6264.67,6463.67,6525.51,6594.01,6705.12,6930.80,7119.93,7373.07,7649.25,7744.40,7544.36,7818.27,8008.65,8121.32,8260.83,8410.41,8551.79,8686.54,8881.09,,-0.23,-0.32,0.20,1.86,1.59,1.48,1.75,2.83,1.84,1.20,0.10,-0.46,0.07,1.22,1.64,1.82,2.04,0.57,1.46,3.18,0.96,1.05,1.69,3.37,2.73,3.56,3.75,1.24,-2.58,3.63,2.44,1.41,1.72,1.81,1.68,1.58,2.24,2.10,,,,,,,,,,,,,,,,,,
NorthAmerica,29030.85,29513.64,28627.19,29616.71,31448.91,32507.37,33291.52,34144.93,35253.25,36127.93,36257.27,35683.63,36365.06,36873.64,37913.27,38483.53,39402.60,40684.64,41996.51,43494.84,44835.44,44862.85,45288.67,46094.53,47385.10,48518.97,49345.65,49762.73,49219.80,47428.12,48254.00,48733.83,49431.16,49942.06,50859.63,51835.10,52219.29,53065.12,,1.66,-3.00,3.46,6.19,3.37,2.41,2.56,3.25,2.48,0.36,-1.58,1.91,1.40,2.82,1.50,2.39,3.25,3.22,3.57,3.08,0.06,0.95,1.78,2.80,2.39,1.70,0.85,-1.09,-3.64,1.74,0.99,1.43,1.03,1.84,1.92,0.74,1.62,2.13,,,,,,,,,,,,,,,,,,
Canada,31769.54,32477.44,31060.90,31549.57,33099.78,34346.29,34737.70,35689.59,36792.19,36981.04,36489.95,35298.56,35077.56,35500.97,36618.79,37143.79,37320.11,38558.71,39732.87,41420.21,43175.62,43552.02,44488.30,44937.39,45970.31,47073.41,47908.49,48482.10,48559.09,46740.48,47792.77,48901.71,49364.36,50193.75,51231.99,51354.11,51692.88,52878.20,,2.23,-4.36,1.57,4.91,3.77,1.14,2.74,3.09,0.51,-1.33,-3.26,-0.63,1.21,3.15,1.43,0.47,3.32,3.05,4.25,4.24,0.87,2.15,1.01,2.30,2.40,1.77,1.20,0.16,-3.75,2.25,2.32,0.95,1.68,2.07,0.24,0.66,2.29,1.37,,,,,,,,,,,,,,,,,,
UnitedStates,28734.44,29192.03,28362.44,29406.26,31268.99,32306.86,33133.71,33975.66,35083.97,36033.29,36231.42,35726.34,36508.11,37026.34,38057.38,38632.74,39634.44,40920.67,42246.95,43723.75,45018.23,45007.05,45376.61,46221.50,47540.13,48677.14,49502.71,49902.53,49291.86,47503.07,48304.27,48715.53,49438.44,49914.58,50818.96,51887.64,52276.80,53085.54,,1.59,-2.84,3.68,6.33,3.32,2.56,2.54,3.26,2.71,0.55,-1.39,2.19,1.42,2.78,1.51,2.59,3.25,3.24,3.50,2.96,-0.02,0.82,1.86,2.85,2.39,1.70,0.81,-1.22,-3.63,1.69,0.85,1.48,0.96,1.81,2.10,0.75,1.55,2.22,,,,,,,,,,,,,,,,,,
LatinAmerica,6475.97,6334.25,6147.93,5856.03,5959.35,6049.43,6212.62,6297.76,6221.16,6191.46,6078.31,6182.59,6241.11,6687.30,6884.31,6869.49,7003.94,7247.37,7300.42,7215.47,7384.65,7346.31,7282.98,7311.26,7660.91,7878.37,8186.26,8531.37,8761.22,8501.19,8911.91,9198.34,9350.23,9513.81,9519.75,9402.57,9181.96,9204.47,,-2.19,-2.94,-4.75,1.76,1.51,2.70,1.37,-1.22,-0.48,-1.83,1.72,0.95,7.15,2.95,-0.22,1.96,3.48,0.73,-1.16,2.34,-0.52,-0.86,0.39,4.78,2.84,3.91,4.22,2.69,-2.97,4.83,3.21,1.65,1.75,0.06,-1.23,-2.35,0.25,0.37,,,,,,,,,,,,,,,,,,
Cuba,3107.53,3696.97,3991.33,4166.88,4453.93,4479.74,4440.64,4293.54,4408.41,4393.04,4220.17,3733.67,3275.65,2770.44,2779.27,2840.25,3051.19,3121.56,3112.30,3291.96,3474.50,3574.90,3615.70,3742.52,3951.71,4391.44,4921.87,5281.63,5500.59,5579.36,5712.01,5871.10,6049.27,6221.61,6293.79,6587.16,6640.26,6766.22,,18.97,7.96,4.40,6.89,0.58,-0.87,-3.31,2.68,-0.35,-3.94,-11.53,-12.27,-15.42,0.32,2.19,7.43,2.31,-0.30,5.77,5.55,2.89,1.14,3.51,5.59,11.13,12.08,7.31,4.15,1.43,2.38,2.79,3.03,2.85,1.16,4.66,0.81,1.90,2.07,,,,,,,,,,,,,,,,,,
Mexico,6264.06,6659.30,6466.15,6051.95,6129.34,6152.24,5796.62,5781.88,5736.37,5864.64,6050.58,6192.07,6298.94,8043.57,8293.46,7640.98,8024.89,8436.90,8737.96,8856.72,9172.75,9013.70,8891.84,8901.22,9128.24,9220.97,9515.81,9607.23,9585.02,8950.72,9273.96,9477.42,9688.80,9694.45,9848.57,10049.50,10222.21,10312.50,,6.31,-2.90,-6.41,1.28,0.37,-5.78,-0.25,-0.79,2.24,3.17,2.34,1.73,27.70,3.11,-7.87,5.02,5.13,3.57,1.36,3.57,-1.73,-1.35,0.11,2.55,1.02,3.20,0.96,-0.23,-6.62,3.61,2.19,2.23,0.06,1.59,2.04,1.72,0.88,1.18,,,,,,,,,,,,,,,,,,
OtherCaribbeanCentralAmerica,3992.19,3939.50,3824.78,3715.90,3746.03,3704.82,3723.88,3794.21,3795.33,3852.61,3773.19,3780.15,3879.06,3980.35,4015.53,4108.30,4149.65,4271.18,4407.56,4524.81,4607.74,4693.18,4738.17,4761.73,4941.46,5000.51,5135.69,5259.75,5289.96,5152.72,5242.21,5326.93,5409.65,5478.15,5559.95,5651.46,5692.60,5739.56,,-1.32,-2.91,-2.85,0.81,-1.10,0.51,1.89,0.03,1.51,-2.06,0.18,2.62,2.61,0.88,2.31,1.01,2.93,3.19,2.66,1.83,1.85,0.96,0.50,3.77,1.19,2.70,2.42,0.57,-2.59,1.74,1.62,1.55,1.27,1.49,1.65,0.73,0.82,0.24,,,,,,,,,,,,,,,,,,
