Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x
Belgium,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,360.1979613,358.1120272,356.9420571,348.3374451,342.880138,336.9851419,329.9490346,316.5129333,308.6818405,301.1406473,297.8681607,295.7814485,301.0110438,293.5884852,288.2751966,284.9660383,276.0008143,271.6917304,263.4249247,255.5018416,255.032181,252.526293,252.6720162,245.9185862,243.5005924,240.6349887,235.9868052,237.8484455,247.2425901,244.8328002,246.0396015,249.4077258,252.1635845,251.5122747,251.3513411
Canada,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,766.6860442,811.373785,806.8572725,776.5006293,755.3071962,754.3389459,743.9144019,730.9975296,740.3523535,761.606963,798.0972028,813.0439232,812.1865403,794.9991248,790.2801518,795.0646448,777.7023661,761.2815284,736.3361992,712.6637672,713.6729823,704.9493912,704.8918506,695.9926962,686.4172364,679.8482899,678.3519691,684.6457172,719.474233,711.5150262,702.2817811,703.9602053,700.3336073,693.6163909,697.7535586
China,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,95.124481,95.124481,95.124481,95.124481,95.124481,96.357452,2768944.67,2619954.283,2436046.373,2173910.764,1971192.798,1865408.827,1727711.016,1606202.432,1590776.582,1578004.671,1482868.372,1329965.523,1194711.977,1080441.483,994695.6938,923008.6953,860788.238,812003.5045,765894.2928,715846.0187,669267.9282,620670.5996,570510.0672,523895.2755,475594.9862,426606.0121,377447.6811,347821.8058,321151.5776,293096.6863,270124.7598,252836.3942,236866.0764,222868.5875,210489.9592
Denmark,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,141.6907425,136.4547744,132.8194604,127.3738034,122.5697826,117.1525742,117.1518992,117.2817873,116.6698036,115.3481757,114.3555889,112.9041202,113.6410586,108.6121491,106.520859,104.6924347,102.2262339,100.7346642,98.49587309,95.56588919,95.45402079,95.65073582,95.88426383,93.96825314,92.39817489,89.51245399,89.38554453,90.649429,96.11395163,95.02827116,94.40597791,94.77966787,94.51665466,93.69567358,93.07510013
Estonia,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.885788,99.885788,99.885788,99.885788,99.823509,169.4801215,162.6589231,159.0530055,156.910937,158.4210957,159.07882,156.106286,153.3945379,149.5889985,160.8995018,172.930567,211.143966,212.9846804,209.3076242,197.6615783,182.5336385,159.7812325,150.6643812,151.1938411,136.4087306,126.5260715,117.6475104,108.0568033,100.3682366,90.65369156,81.18844827,74.62018666,78.40661738,91.48390087,88.94555949,82.06164395,77.88619054,75.59619609,72.86321861,71.31316581
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,185.4542504,181.9273562,178.5366121,174.8348993,170.2630179,166.8131012,162.0087999,154.9012749,148.4077848,148.7824673,159.8735486,167.2073444,170.0609393,165.0102298,159.5354292,154.8835919,146.6069248,139.7693337,134.4226861,127.7762061,125.1284144,123.654473,121.8160995,117.8962835,115.4936039,111.8440091,107.2347225,107.4618815,118.276288,115.8958575,114.0462884,116.8036575,118.7854253,120.5665589,121.3009668
France,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2047.101379,2017.731117,2011.785054,2004.085091,1992.156551,1966.199718,1937.596269,1870.178509,1820.8132,1790.055284,1783.687323,1774.870197,1803.127931,1776.722841,1754.795591,1744.806077,1718.707663,1673.485533,1634.514111,1592.674781,1582.559495,1585.631478,1592.831745,1570.287152,1566.607437,1550.675572,1533.815093,1548.261738,1612.38988,1598.019172,1581.664676,1594.56934,1601.4082,1601.435678,1598.224546
Germany,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2996.73095,3003.197676,2940.92359,2840.598885,2763.712855,2704.141572,2671.014963,2596.004602,2537.866216,2454.777145,2370.44989,2361.433967,2415.872691,2374.343624,2347.546686,2342.029036,2306.259233,2262.18021,2220.920714,2162.817583,2133.890961,2141.058459,2158.768176,2132.891468,2115.495039,2035.411735,1965.890217,1937.098447,2041.547868,1953.891635,1846.373483,1837.036026,1829.506247,1799.024229,1780.441683
Ireland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,197.0944409,196.592428,199.8447056,194.0711549,189.1514684,190.0783309,181.5977265,171.356257,160.5511954,147.9333175,146.908741,144.223353,141.9623272,135.4136518,124.7822007,117.3824638,108.8353032,102.6487935,95.02715198,89.00165295,86.59902691,84.13648526,84.38701648,82.35292451,81.49433133,81.41570582,81.7059324,88.72455283,95.27422212,94.98126475,93.59437921,94.98380878,95.01906827,89.40797979,72.77054967
Israel,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,202.6634153,207.3409285,209.0463869,210.8933328,210.4560826,212.350721,206.1467497,206.4121598,211.2603941,208.9536177,216.9695721,218.3962731,224.6077156,224.1360343,216.931366,217.856335,221.1904717,222.983384,226.5388088,220.6286566,230.9046449,239.6866344,246.8655161,244.9511429,243.9344618,240.3607132,235.5402293,237.0235078,243.84436,240.4485749,238.4456359,242.7210532,241.8636057,242.5221572,243.9664157
Japan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4399.046066,4316.393396,4226.894631,4096.641667,3940.265273,3860.152249,3722.236653,3515.589384,3380.044734,3244.693495,3158.053277,3149.818522,3183.214255,3170.489314,3104.623733,3025.885218,3008.167778,3058.337793,3078.388029,3006.379517,3009.319853,3018.99924,2984.157455,2924.008864,2876.944121,2838.732826,2796.876263,2829.361215,2989.060785,2866.511482,2862.052444,2813.150917,2751.520898,2734.393882,2691.112119
Netherlands,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,481.0921751,491.5958406,485.2231739,474.6136417,467.1198519,459.5277663,456.6036743,447.1864095,433.3914928,421.7723709,418.1842955,417.2736314,417.7407409,411.059413,402.6264077,392.2978215,379.9347786,367.9568372,354.9080716,345.3086266,343.1820442,347.1433688,349.3300631,344.6227058,338.80515,328.2443853,317.8210674,314.8629883,330.4875947,329.2494163,326.9441269,333.1935064,336.3036053,334.2233003,329.658545
New Zealand,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,135.8270677,137.260948,136.1812219,132.6763993,132.4019677,129.53433,137.0268308,135.0583152,135.6500859,137.4797742,148.4990973,149.8223148,144.0018253,140.6416757,138.5961695,138.2834254,137.5415802,138.2545427,132.8033803,131.2395516,128.3718918,126.2920264,125.1690024,124.5083254,123.0947984,122.7314508,120.6286122,124.7960251,124.8642559,126.2102632,124.9465614,123.643993,123.1819152,121.7932947,119.8307554
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.42115914,83.83889548,81.17110092,76.97178308,73.3586064,71.00196785,70.43479797,71.37898764,71.23120468,70.38493661,68.92392985,67.31723964,66.23898498,63.77433957,61.86833345,59.50706234,57.1438634,56.35893999,56.01099303,54.98003271,54.40483504,54.21524274,54.35495233,52.90710174,52.26179988,51.86917822,51.41990319,52.46618046,54.73215145,55.72843766,56.64503794,56.61444135,57.43908941,57.66221212,57.7963908
Portugal,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,94.477051,94.477051,94.477051,94.477051,95.428108,789.3548777,778.3461333,784.3222428,803.498142,784.6327685,754.8977103,709.9876478,660.1881807,619.4946707,594.6267359,568.2166178,562.147101,576.8991398,576.3660791,556.7057546,541.7672886,524.0404967,505.9971962,492.6270074,480.4248511,476.9509118,478.0699879,486.5330519,481.0399208,480.1776917,475.4656585,466.4365814,467.6732384,483.8898837,476.3269158,485.5847797,504.9098712,508.7254881,502.1868002,491.6833123
Russia,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.684273,99.684273,99.684273,99.684273,99.684273,99.719566,18242.95786,17166.79548,16623.13402,16218.07399,16233.05695,15925.32264,15814.44249,15166.85325,14933.24464,15519.75134,16417.35319,19235.78975,21043.8915,24061.06751,25130.87911,26003.25427,25563.41837,26909.73918,25135.37834,22655.05509,21361.05111,20188.46124,18628.52446,17223.21829,16053.00533,14734.03744,13524.20804,12839.8677,13940.15098,13351.4889,12691.07227,12263.40982,12072.5319,12007.58645,12376.85109
Singapore,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,95.85733,96.179337,96.36306,96.540154,96.71666,96.774628,180.5900467,184.1539941,174.3055081,166.5438008,168.3292932,165.9772436,154.5886515,146.5156744,141.1593276,137.3906998,137.0589202,136.2418694,129.2893336,123.9876689,122.9538313,122.4829166,120.19686,130.5110425,127.0965822,121.6936497,129.5201883,128.7861849,124.6171155,118.0105003,115.0859497,111.6332433,109.1154692,115.6068409,122.4294608,110.3751846,108.1700877,108.6738402,107.1737353,106.5632023,107.50163
South Korea,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,4541.636464,4326.880697,3940.022695,3669.436916,3492.344209,3218.277194,2931.364507,2682.879161,2568.260642,2397.292141,2230.439559,2158.653262,2074.015406,1944.964612,1813.999099,1719.053871,1651.492105,1776.082778,1621.062777,1512.618638,1470.520999,1388.433607,1366.80411,1318.859365,1282.120752,1231.501929,1181.672552,1162.587134,1166.357599,1106.750061,1079.678171,1066.766788,1047.258102,1024.427612,1007.645059
United Kingdom,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2599.594144,2545.099768,2444.304014,2396.686391,2311.495209,2253.287262,2150.949962,2044.603586,2004.025522,2000.980294,2034.983601,2038.6239,1997.235707,1932.582898,1896.904058,1859.685643,1796.704084,1752.689952,1710.396811,1662.319736,1633.789592,1607.477975,1568.820961,1549.143577,1522.04249,1505.410359,1492.04997,1520.682384,1608.38928,1603.075391,1601.459566,1597.934084,1585.027759,1558.174384,1542.921496
United States,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,7860.570162,8167.985547,7950.416,7541.816989,7364.504009,7247.392459,7131.252196,6968.966169,6849.749218,6889.683043,7081.077995,7026.219654,7019.84047,6913.928389,6892.547616,6796.967486,6663.062946,6529.560122,6381.886275,6267.73667,6331.651486,6338.622321,6276.47162,6159.11858,6070.952381,6027.547017,6036.391482,6169.253219,6457.930593,6403.956027,6397.226511,6351.197004,6335.513692,6269.756898,6187.212195
