Country,2012,2013,2014,2015
Belgium,35237.80252,35237.80252,35237.80252,29815.925839999996
China,1436.1192199999998,1056.7449900000001,1124.70505,1352.55084
Denmark,23678.45649,29185.54367,26950.54759,26950.54759
Estonia,1086.04182,1216.23028,1436.95347,1177.07032
Finland,18463.72625,19326.45894,19495.821630000002,16486.014040000002
France,146440.7517,154617.24800000002,157213.1721,133229.4195
Germany,174835.7737,185185.4951,191850.8427,162481.9365
Ireland,12972.8678,12725.36833,12617.0256,10955.42069
Israel,14658.872659999999,17221.11443,17931.747669999997,17590.92663
Japan,227349.2657,227371.3044,185120.5019,185120.5019
Netherlands,45390.19714,48463.7257,48637.7936,40927.55861
New Zealand,12049.54599,11808.585509999999,12108.12278,12733.19785
Norway,37574.559519999995,39130.55319,38352.86961,29202.60825
Portugal,10702.44475,11931.858209999999,11764.51317,9737.56256
Russia,83762.87698,83762.87698,83762.87698,52276.33588
Singapore,8578.47035,8422.82148,8422.82148,8422.82148
South Korea,61281.87817,64167.74189,68754.87016,74133.24675
United Kingdom,149574.9062,149574.9062,155989.3004,170229.8069
United States,806135.2808,798681.8155,832820.6112,832820.6112
