entity,code,year,life_expectancy
Belgium,BEL,1960,69.973
Belgium,BEL,1961,70.121002
Belgium,BEL,1962,70.240997
Belgium,BEL,1963,70.341003
Belgium,BEL,1964,70.427002
Belgium,BEL,1965,70.50700400000001
Belgium,BEL,1966,70.589996
Belgium,BEL,1967,70.679001
Belgium,BEL,1968,70.781998
Belgium,BEL,1969,70.903
Belgium,BEL,1970,71.045998
Belgium,BEL,1971,71.211998
Belgium,BEL,1972,71.397003
Belgium,BEL,1973,71.598
Belgium,BEL,1974,71.813004
Belgium,BEL,1975,72.039001
Belgium,BEL,1976,72.275002
Belgium,BEL,1977,72.516998
Belgium,BEL,1978,72.764
Belgium,BEL,1979,73.014999
Belgium,BEL,1980,73.26799799999999
Belgium,BEL,1981,73.52600100000001
Belgium,BEL,1982,73.788002
Belgium,BEL,1983,74.056
Belgium,BEL,1984,74.327003
Belgium,BEL,1985,74.598
Belgium,BEL,1986,74.866997
Belgium,BEL,1987,75.128998
Belgium,BEL,1988,75.383003
Belgium,BEL,1989,75.627998
Belgium,BEL,1990,75.862
Belgium,BEL,1991,76.084999
Belgium,BEL,1992,76.29900400000001
Belgium,BEL,1993,76.50700400000001
Belgium,BEL,1994,76.709
Belgium,BEL,1995,76.906998
Belgium,BEL,1996,77.100998
Belgium,BEL,1997,77.292
Belgium,BEL,1998,77.481003
Belgium,BEL,1999,77.67199699999999
Belgium,BEL,2000,77.866997
Belgium,BEL,2001,78.070999
Belgium,BEL,2002,78.285004
Belgium,BEL,2003,78.509003
Belgium,BEL,2004,78.739998
Belgium,BEL,2005,78.974998
Belgium,BEL,2006,79.210999
Belgium,BEL,2007,79.441002
Belgium,BEL,2008,79.662003
Belgium,BEL,2009,79.873001
Belgium,BEL,2010,80.071999
Belgium,BEL,2011,80.260002
Belgium,BEL,2012,80.442001
Belgium,BEL,2013,80.61799599999999
Belgium,BEL,2014,80.792
Belgium,BEL,2015,80.96399699999999
Canada,CAN,1960,70.864998
Canada,CAN,1961,71.061996
Canada,CAN,1962,71.248001
Canada,CAN,1963,71.42600300000001
Canada,CAN,1964,71.595001
Canada,CAN,1965,71.758003
Canada,CAN,1966,71.915001
Canada,CAN,1967,72.068001
Canada,CAN,1968,72.220001
Canada,CAN,1969,72.376999
Canada,CAN,1970,72.542
Canada,CAN,1971,72.720001
Canada,CAN,1972,72.914001
Canada,CAN,1973,73.125999
Canada,CAN,1974,73.356003
Canada,CAN,1975,73.60700200000001
Canada,CAN,1976,73.88200400000001
Canada,CAN,1977,74.175003
Canada,CAN,1978,74.48200200000001
Canada,CAN,1979,74.79499799999999
Canada,CAN,1980,75.105003
Canada,CAN,1981,75.403
Canada,CAN,1982,75.682999
Canada,CAN,1983,75.941002
Canada,CAN,1984,76.175003
Canada,CAN,1985,76.386002
Canada,CAN,1986,76.57800300000001
Canada,CAN,1987,76.761002
Canada,CAN,1988,76.940002
Canada,CAN,1989,77.120003
Canada,CAN,1990,77.29900400000001
Canada,CAN,1991,77.475998
Canada,CAN,1992,77.649002
Canada,CAN,1993,77.816002
Canada,CAN,1994,77.981003
Canada,CAN,1995,78.146004
Canada,CAN,1996,78.318001
Canada,CAN,1997,78.5
Canada,CAN,1998,78.693001
