gdp,year,entity
31769.54,1980,Canada
32477.44,1981,Canada
31060.9,1982,Canada
31549.57,1983,Canada
33099.78,1984,Canada
34346.29,1985,Canada
34737.7,1986,Canada
35689.59,1987,Canada
36792.19,1988,Canada
36981.04,1989,Canada
36489.95,1990,Canada
35298.56,1991,Canada
35077.56,1992,Canada
35500.97,1993,Canada
36618.79,1994,Canada
37143.79,1995,Canada
37320.11,1996,Canada
38558.71,1997,Canada
39732.87,1998,Canada
41420.21,1999,Canada
43175.62,2000,Canada
43552.02,2001,Canada
44488.3,2002,Canada
44937.39,2003,Canada
45970.31,2004,Canada
47073.41,2005,Canada
47908.49,2006,Canada
48482.1,2007,Canada
48559.09,2008,Canada
46740.48,2009,Canada
47792.77,2010,Canada
48901.71,2011,Canada
49364.36,2012,Canada
50193.75,2013,Canada
51231.99,2014,Canada
51354.11,2015,Canada
28734.44,1980,United States
29192.03,1981,United States
28362.44,1982,United States
29406.26,1983,United States
31268.99,1984,United States
32306.86,1985,United States
33133.71,1986,United States
33975.66,1987,United States
35083.97,1988,United States
36033.29,1989,United States
36231.42,1990,United States
35726.34,1991,United States
36508.11,1992,United States
37026.34,1993,United States
38057.38,1994,United States
38632.74,1995,United States
39634.44,1996,United States
40920.67,1997,United States
42246.95,1998,United States
43723.75,1999,United States
45018.23,2000,United States
45007.05,2001,United States
45376.61,2002,United States
46221.5,2003,United States
47540.13,2004,United States
48677.14,2005,United States
49502.71,2006,United States
49902.53,2007,United States
49291.86,2008,United States
47503.07,2009,United States
48304.27,2010,United States
48715.53,2011,United States
49438.44,2012,United States
49914.58,2013,United States
50818.96,2014,United States
51887.64,2015,United States
27463.27,1980,Belgium
27371.01,1981,Belgium
27522.96,1982,Belgium
27610.98,1983,Belgium
28292.6,1984,Belgium
28751.47,1985,Belgium
29264.86,1986,Belgium
29914.42,1987,Belgium
31283.6,1988,Belgium
32193.98,1989,Belgium
33098.75,1990,Belgium
33586.96,1991,Belgium
33961.42,1992,Belgium
33502.01,1993,Belgium
34455.04,1994,Belgium
35163.66,1995,Belgium
35641.57,1996,Belgium
36888.46,1997,Belgium
37553.62,1998,Belgium
38821.0,1999,Belgium
40122.02,2000,Belgium
40334.4,2001,Belgium
40917.66,2002,Belgium
41065.62,2003,Belgium
42376.37,2004,Belgium
43033.23,2005,Belgium
43833.85,2006,Belgium
45026.67,2007,Belgium
45028.56,2008,Belgium
43667.61,2009,Belgium
44502.15,2010,Belgium
44902.3,2011,Belgium
44618.69,2012,Belgium
44347.47,2013,Belgium
44566.64,2014,Belgium
44854.33,2015,Belgium
36378.19,1980,Denmark
36146.13,1981,Denmark
37505.54,1982,Denmark
38505.63,1983,Denmark
40130.85,1984,Denmark
41720.65,1985,Denmark
43708.25,1986,Denmark
43763.9,1987,Denmark
43736.68,1988,Denmark
43992.48,1989,Denmark
44568.88,1990,Denmark
45072.55,1991,Denmark
45803.2,1992,Denmark
45658.04,1993,Denmark
47933.68,1994,Denmark
49130.03,1995,Denmark
50271.77,1996,Denmark
51698.97,1997,Denmark
52655.35,1998,Denmark
54030.68,1999,Denmark
55873.66,2000,Denmark
56139.94,2001,Denmark
56203.76,2002,Denmark
56219.59,2003,Denmark
57514.35,2004,Denmark
58653.02,2005,Denmark
60743.19,2006,Denmark
61099.79,2007,Denmark
60602.93,2008,Denmark
57464.03,2009,Denmark
58379.29,2010,Denmark
59006.56,2011,Denmark
