code,year,spend
BEL,1980,635.39
BEL,1981,739.29
BEL,1982,817.4060000000001
BEL,1983,873.2660000000001
BEL,1984,905.573
BEL,1985,956.6139999999999
BEL,1986,1018.0930000000001
BEL,1987,1083.485
BEL,1988,1170.493
BEL,1989,1243.6789999999999
BEL,1990,1334.251
BEL,1991,1459.771
BEL,1992,1546.235
BEL,1993,1587.0079999999998
BEL,1994,1624.384
BEL,1995,1684.951
BEL,1996,1774.5720000000001
BEL,1997,1820.4460000000001
BEL,1998,1898.497
BEL,1999,2025.754
BEL,2000,2222.49
BEL,2001,2349.132
BEL,2002,2518.944
BEL,2003,2808.365
BEL,2004,2919.801
BEL,2005,2988.687
BEL,2006,3136.636
BEL,2007,3277.0809999999997
BEL,2008,3535.86
BEL,2009,3798.764
BEL,2010,3945.407
BEL,2011,4129.874
BEL,2012,4288.785
BEL,2013,4479.1
BEL,2014,4612.01
BEL,2015,4589.464
BEL,2016,4659.518
BEL,2017,4774.332
CAN,1980,768.993
CAN,1981,885.685
CAN,1982,996.935
CAN,1983,1076.84
CAN,1984,1152.681
CAN,1985,1235.796
CAN,1986,1316.035
CAN,1987,1376.07
CAN,1988,1467.6879999999999
CAN,1989,1573.3529999999998
CAN,1990,1693.9089999999999
CAN,1991,1830.398
CAN,1992,1918.0
CAN,1993,1968.969
CAN,1994,1998.6470000000002
CAN,1995,2002.384
CAN,1996,2003.254
CAN,1997,2099.353
CAN,1998,2246.879
CAN,1999,2318.9570000000003
CAN,2000,2421.902
CAN,2001,2608.131
CAN,2002,2742.4509999999996
CAN,2003,2913.9559999999997
CAN,2004,3076.243
CAN,2005,3282.454
CAN,2006,3499.4190000000003
CAN,2007,3667.3340000000003
CAN,2008,3812.2490000000003
CAN,2009,4101.74
CAN,2010,4225.189
CAN,2011,4252.249
CAN,2012,4315.851
CAN,2013,4468.695
CAN,2014,4538.1990000000005
CAN,2015,4632.837
CAN,2016,4721.5779999999995
CAN,2017,4826.316
DNK,1980,832.077
DNK,1981,920.9860000000001
DNK,1982,1020.7310000000001
DNK,1983,1063.232
DNK,1984,1086.414
DNK,1985,1162.253
DNK,1986,1208.819
DNK,1987,1292.634
DNK,1988,1359.8020000000001
DNK,1989,1398.344
DNK,1990,1464.891
DNK,1991,1512.125
DNK,1992,1574.776
DNK,1993,1674.351
DNK,1994,1749.247
DNK,1995,1760.779
DNK,1996,1858.365
DNK,1997,1930.751
DNK,1998,1947.773
DNK,1999,2223.362
DNK,2000,2322.516
DNK,2001,2490.072
DNK,2002,2666.48
DNK,2003,2740.906
DNK,2004,2965.289
DNK,2005,3104.4440000000004
DNK,2006,3420.006
DNK,2007,3633.2459999999996
DNK,2008,3926.1240000000003
DNK,2009,4305.214
DNK,2010,4447.55
DNK,2011,4508.236
DNK,2012,4588.532
DNK,2013,4751.925
DNK,2014,4872.49
DNK,2015,5000.768
DNK,2016,5074.523
DNK,2017,5182.837
FIN,1980,546.245
FIN,1981,615.054
FIN,1982,679.9839999999999
FIN,1983,734.91
FIN,1984,786.834
FIN,1985,889.702
FIN,1986,943.2860000000001
FIN,1987,1019.615
FIN,1988,1076.141
FIN,1989,1177.562
FIN,1990,1316.247
FIN,1991,1459.701
FIN,1992,1469.746
FIN,1993,1366.951
FIN,1994,1344.0720000000001
FIN,1995,1438.203
FIN,1996,1499.1879999999999
FIN,1997,1552.596
FIN,1998,1606.152
FIN,1999,1683.693
FIN,2000,1828.671
FIN,2001,1941.4660000000001
FIN,2002,2102.2329999999997
FIN,2003,2220.904
FIN,2004,2425.275
FIN,2005,2558.813
FIN,2006,2750.952
FIN,2007,2950.171
FIN,2008,3231.159
FIN,2009,3355.563
FIN,2010,3438.8520000000003
FIN,2011,3640.716
FIN,2012,3774.0759999999996
FIN,2013,3919.5890000000004
FIN,2014,3931.38
FIN,2015,4098.952
FIN,2016,4117.913
FIN,2017,4172.592000000001
FRA,1980,654.946
FRA,1985,1012.4069999999999
FRA,1990,1413.005
FRA,1991,1508.8570000000002
FRA,1992,1602.6870000000001
FRA,1993,1702.335
FRA,1994,1769.72
FRA,1995,2054.577
FRA,1996,2112.956
FRA,1997,2174.813
FRA,1998,2259.567
FRA,1999,2353.714
FRA,2000,2506.7870000000003
FRA,2001,2678.217
FRA,2002,2866.1929999999998
FRA,2003,2844.885
FRA,2004,2960.2940000000003
FRA,2005,3124.1890000000003
FRA,2006,3369.47
FRA,2007,3516.1409999999996
FRA,2008,3686.357
FRA,2009,3916.62
FRA,2010,4036.6420000000003
FRA,2011,4206.912
FRA,2012,4276.187
FRA,2013,4533.808
FRA,2014,4666.0740000000005
FRA,2015,4656.575
FRA,2016,4773.039000000001
FRA,2017,4902.139
DEU,1980,960.924
DEU,1981,1092.86
DEU,1982,1133.774
DEU,1983,1199.882
DEU,1984,1300.873
DEU,1985,1400.871
DEU,1986,1442.5970000000002
DEU,1987,1516.0770000000002
DEU,1988,1654.096
DEU,1989,1643.004
DEU,1990,1757.736
DEU,1992,1959.2939999999999
DEU,1993,1968.747
DEU,1994,2108.495
DEU,1995,2250.24
DEU,1996,2371.488
DEU,1997,2395.987
DEU,1998,2475.79
DEU,1999,2596.237
DEU,2000,2707.165
DEU,2001,2839.9240000000004
DEU,2002,2997.905
DEU,2003,3135.7290000000003
DEU,2004,3208.025
DEU,2005,3314.3990000000003
DEU,2006,3514.8140000000003
DEU,2007,3690.131
DEU,2008,3926.185
DEU,2009,4197.599
DEU,2010,4396.635
DEU,2011,4574.545999999999
DEU,2012,4690.68
DEU,2013,4937.141
DEU,2014,5160.105
DEU,2015,5296.994000000001
DEU,2016,5451.854
DEU,2017,5728.451
IRL,1980,494.079
