code,year,spend
BEL,1992,1146.623
BEL,1993,1165.479
BEL,1994,1182.06
BEL,1995,1294.003
BEL,1996,1387.3120000000001
BEL,1997,1372.214
BEL,1998,1420.1570000000002
BEL,1999,1510.7579999999998
BEL,2000,1658.089
BEL,2001,1771.418
BEL,2002,1858.899
BEL,2003,2089.3320000000003
BEL,2004,2230.66
BEL,2005,2300.2929999999997
BEL,2006,2393.84
BEL,2007,2484.705
BEL,2008,2741.2129999999997
BEL,2009,2966.2490000000003
BEL,2010,3079.958
BEL,2011,3215.475
BEL,2012,3358.203
BEL,2013,3492.6609999999996
BEL,2014,3607.855
BEL,2015,3598.054
BEL,2016,3672.1740000000004
BEL,2017,3760.69
CAN,1980,585.342
CAN,1981,676.425
CAN,1982,765.6510000000001
CAN,1983,826.557
CAN,1984,877.42
CAN,1985,933.9830000000001
CAN,1986,987.9
CAN,1987,1031.894
CAN,1988,1096.101
CAN,1989,1172.431
CAN,1990,1258.05
CAN,1991,1360.0870000000002
CAN,1992,1416.135
CAN,1993,1425.641
CAN,1994,1428.7420000000002
CAN,1995,1420.68
CAN,1996,1413.3670000000002
CAN,1997,1464.5410000000002
CAN,1998,1578.4979999999998
CAN,1999,1617.662
CAN,2000,1694.672
CAN,2001,1818.0610000000001
CAN,2002,1899.615
CAN,2003,2038.283
CAN,2004,2149.65
CAN,2005,2293.166
CAN,2006,2434.005
CAN,2007,2556.246
CAN,2008,2660.54
CAN,2009,2880.393
CAN,2010,2955.986
CAN,2011,3002.4570000000003
CAN,2012,3044.32
CAN,2013,3148.551
CAN,2014,3193.934
CAN,2015,3267.052
CAN,2016,3319.113
CAN,2017,3381.998
DNK,1980,726.054
DNK,1981,803.465
DNK,1982,888.922
DNK,1983,916.4010000000001
DNK,1984,927.573
DNK,1985,987.9119999999999
DNK,1986,1016.378
DNK,1987,1084.558
DNK,1988,1145.245
DNK,1989,1171.5710000000001
DNK,1990,1206.84
DNK,1991,1258.347
DNK,1992,1304.822
DNK,1993,1377.55
DNK,1994,1429.721
DNK,1995,1444.2839999999999
DNK,1996,1521.8929999999998
DNK,1997,1577.251
DNK,1998,1577.93
DNK,1999,1849.098
DNK,2000,1930.182
DNK,2001,2076.861
DNK,2002,2234.6639999999998
DNK,2003,2299.89
DNK,2004,2477.472
DNK,2005,2599.788
DNK,2006,2868.368
DNK,2007,3041.328
DNK,2008,3298.724
DNK,2009,3636.13
DNK,2010,3730.593
DNK,2011,3769.4990000000003
DNK,2012,3853.44
DNK,2013,4004.028
DNK,2014,4102.126
