entity,code,year,life_expectancy,spend,gdp
Belgium,BEL,1960,69.973,,
Belgium,BEL,1961,70.121002,,
Belgium,BEL,1962,70.240997,,
Belgium,BEL,1963,70.341003,,
Belgium,BEL,1964,70.427002,,
Belgium,BEL,1965,70.50700400000002,,
Belgium,BEL,1966,70.589996,,
Belgium,BEL,1967,70.679001,,
Belgium,BEL,1968,70.781998,,
Belgium,BEL,1969,70.903,,
Belgium,BEL,1970,71.045998,,
Belgium,BEL,1971,71.211998,,
Belgium,BEL,1972,71.397003,,
Belgium,BEL,1973,71.598,,
Belgium,BEL,1974,71.813004,,
Belgium,BEL,1975,72.039001,,
Belgium,BEL,1976,72.275002,,
Belgium,BEL,1977,72.516998,,
Belgium,BEL,1978,72.764,,
Belgium,BEL,1979,73.014999,,
Belgium,BEL,1980,73.26799799999998,635.39,27463.27
Belgium,BEL,1981,73.52600100000002,739.29,27371.01
Belgium,BEL,1982,73.788002,817.4060000000002,27522.96
Belgium,BEL,1983,74.056,873.2660000000002,27610.98
Belgium,BEL,1984,74.327003,905.573,28292.6
Belgium,BEL,1985,74.598,956.614,28751.47
Belgium,BEL,1986,74.866997,1018.093,29264.86
Belgium,BEL,1987,75.128998,1083.485,29914.42
Belgium,BEL,1988,75.383003,1170.493,31283.6
Belgium,BEL,1989,75.627998,1243.679,32193.98
Belgium,BEL,1990,75.862,1334.251,33098.75
Belgium,BEL,1991,76.084999,1459.771,33586.96
Belgium,BEL,1992,76.29900400000002,1546.235,33961.42
Belgium,BEL,1993,76.50700400000002,1587.0079999999996,33502.01
Belgium,BEL,1994,76.709,1624.384,34455.04
Belgium,BEL,1995,76.906998,1684.951,35163.66
Belgium,BEL,1996,77.100998,1774.572,35641.57
Belgium,BEL,1997,77.292,1820.446,36888.46
Belgium,BEL,1998,77.481003,1898.497,37553.62
Belgium,BEL,1999,77.67199699999998,2025.754,38821.0
Belgium,BEL,2000,77.866997,2222.49,40122.02
Belgium,BEL,2001,78.070999,2349.132,40334.4
Belgium,BEL,2002,78.285004,2518.944,40917.66
Belgium,BEL,2003,78.509003,2808.365,41065.62
Belgium,BEL,2004,78.739998,2919.801,42376.37
Belgium,BEL,2005,78.974998,2988.687,43033.23
Belgium,BEL,2006,79.210999,3136.636,43833.85
Belgium,BEL,2007,79.441002,3277.081,45026.67
Belgium,BEL,2008,79.662003,3535.86,45028.56
Belgium,BEL,2009,79.873001,3798.764,43667.61
Belgium,BEL,2010,80.071999,3945.407,44502.15
Belgium,BEL,2011,80.260002,4129.874,44902.3
Belgium,BEL,2012,80.442001,4288.785,44618.69
Belgium,BEL,2013,80.61799599999998,4479.1,44347.47
Belgium,BEL,2014,80.792,4612.01,44566.64
Belgium,BEL,2015,80.96399699999998,4589.464,44854.33
Canada,CAN,1960,70.864998,,
Canada,CAN,1961,71.061996,,
Canada,CAN,1962,71.248001,,
Canada,CAN,1963,71.42600300000002,,
Canada,CAN,1964,71.595001,,
Canada,CAN,1965,71.758003,,
Canada,CAN,1966,71.915001,,
Canada,CAN,1967,72.068001,,
Canada,CAN,1968,72.220001,,
Canada,CAN,1969,72.376999,,
Canada,CAN,1970,72.542,,
Canada,CAN,1971,72.720001,,
Canada,CAN,1972,72.914001,,
