"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",386.739,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",426.699,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",430.561,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",485.346,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",583.889,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",630.294,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",658.391,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",687.711,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",707.102,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",734.382,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",763.082,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",811.005,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",860.648,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",906.035,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",964.732,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1029.431,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1081.3,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1164.447,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1258.642,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1384.546,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1471.322,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1537.205,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",1665.187,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",1732.073,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",1878.991,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",1944.081,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",2066.856,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",2214.97,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",2283.964,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",2468.9,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2478.32,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2626.021,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2569.941,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2823.649,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2896.647,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3010.696,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3083.391,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3109.495,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",496.917,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",511.821,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",549.444,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",577.389,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",598.913,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",653.272,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",694.057,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",754.691,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",799.756,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",854.075,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",1116.664,"B"
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",1192.193,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",1285.885,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",1403.373,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",1543.673,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1588.832,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1633.635,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1723.297,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1839.675,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1942.585,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",2042.238,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",2067.79,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",2190.935,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",2283.566,
