"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1980",614.678,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1981",696.422,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1982",730.5,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1983",771.792,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1984",816.866,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1985",880.999,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1986",936.688,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1987",981.456,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1988",1036.995,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1989",1089.506,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1990",1152.889,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1991",1228.353,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1992",1307.075,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1993",1379.821,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1994",1472.198,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1551.155,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1642.864,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1729.716,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1857.007,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1986.493,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2151.718,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2268.73,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2426.479,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2545.293,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2749.281,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2842.132,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",3025.817,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3195.856,"D"
